round,timestamp,avg_time_ns,max_time_ns,min_time_ns,stdev_time_ns,suspicious_count
360,1762785763.0155761,78.12890625,580,60,41.947901678982795,4
361,1762785763.0671022,65,1320,50,79.80368068567009,3
362,1762785763.1185367,61.09375,510,50,30.051834305047656,3
363,1762785763.1700327,64.7265625,1000,50,63.0586673420933,3
364,1762785763.2215793,74.65234375,580,60,34.102501696155294,4
365,1762785763.2730193,63.01171875,850,50,50.749634011768315,3
366,1762785763.3245356,75.1171875,580,60,34.35663502291863,5
367,1762785763.3760605,66.40625,650,50,47.81064570926913,5
368,1762785763.427539,61.6015625,510,50,30.33430461976516,3
369,1762785763.4791265,77.89453125,910,60,54.09672355501075,3
370,1762785763.5306845,76.0625,760,60,45.49910578737763,3
371,1762785763.5823672,83.3203125,1590,60,99.56528520100197,5
372,1762785763.6339307,76.56640625,570,60,33.63021931757269,5
373,1762785763.6854334,78.12890625,1060,60,63.21096784000074,2
374,1762785763.7369256,75.58984375,770,60,45.47362664199426,3
375,1762785763.788443,66.6796875,1200,50,76.18547374213621,5
376,1762785763.8398812,68.59375,490,50,31.4669917314549,9
377,1762785763.8913882,78.59375,1150,60,69.74164508257265,3
378,1762785763.9430192,80,1130,60,69.04957014533039,3
379,1762785763.9945252,64.609375,840,50,54.22397044286074,3
380,1762785764.0459855,62.96875,860,50,51.827154287773,3
381,1762785764.0975487,80.55078125,1390,60,84.60620057571339,5
382,1762785764.1490476,74.375,590,60,34.77095925974918,5
383,1762785764.2006373,83.59765625,1180,60,77.03596202726156,8
384,1762785764.2521257,74.453125,600,60,35.50881898191203,5
385,1762785764.303543,63.2109375,710,50,43.183266974241626,4
386,1762785764.355091,106.09375,1370,60,89.70744935950545,10
387,1762785764.4065835,282.390625,56222,50,3510.2085301652805,1
388,1762785764.4580917,76.7578125,580,60,34.07080196544583,5
389,1762785764.5096211,105.82421875,2080,60,128.41777852978345,5
390,1762785764.5611696,76.83984375,640,60,45.80968446260818,5
391,1762785764.6126308,64.3359375,930,50,55.75461325764716,2
392,1762785764.6641304,76.52734375,640,60,37.20709444230005,3
393,1762785764.7156708,79.06640625,1070,60,63.848407202751986,2
394,1762785764.767235,76.5625,580,60,42.45297282830479,6
395,1762785764.8187497,77.2265625,940,60,55.917686681617376,2
396,1762785764.8702683,76.4453125,720,60,42.281281927947596,4
397,1762785764.9217792,78.6328125,800,60,47.32124193980427,4
398,1762785764.9734633,114.33984375,1080,70,77.40546248125047,4
399,1762785765.0249324,63.3203125,800,50,48.64750096860266,4
400,1762785765.0764158,73.98828125,590,60,34.432597690284425,5
401,1762785765.1298602,76.015625,970,60,57.726058189674156,2
402,1762785765.1814773,78.59375,810,60,54.35878448770164,4
403,1762785765.2329364,75.7421875,650,60,38.69736700649405,3
